KOR,MATH,MEAN
80,91,85.5
63,93,78.0
63,98,80.5
81,61,71.0
93,90,91.5
89,87,88.0
86,73,79.5
75,78,76.5
81,92,86.5
94,77,85.5
98,74,86.0
97,91,94.0
57,89,73.0
85,62,73.5
52,90,71.0
68,97,82.5
80,96,88.0
93,51,72.0
74,70,72.0
95,45,70.0
84,97,90.5
92,85,88.5
67,81,74.0
97,43,70.0
81,96,88.5
53,89,71.0
86,70,78.0
86,86,86.0
99,66,82.5
69,78,73.5
96,78,87.0
89,66,77.5
63,85,74.0
90,67,78.5
98,60,79.0
50,100,75.0
98,90,94.0
69,77,73.0
83,91,87.0
71,75,73.0
65,84,74.5
98,61,79.5
85,72,78.5
61,80,70.5
92,74,83.0
97,46,71.5
74,96,85.0
98,54,76.0
88,61,74.5
81,98,89.5
83,58,70.5
99,91,95.0
95,87,91.0
77,75,76.0
85,74,79.5
77,98,87.5
96,69,82.5
97,98,97.5
82,88,85.0
66,79,72.5
82,93,87.5
95,63,79.0
50,96,73.0
69,78,73.5
55,94,74.5
64,86,75.0
85,56,70.5
80,88,84.0
97,60,78.5
89,86,87.5
85,86,85.5
99,80,89.5
95,53,74.0
85,89,87.0
92,75,83.5
99,93,96.0
93,89,91.0
90,61,75.5
78,62,70.0
62,84,73.0
69,94,81.5
71,93,82.0
59,85,72.0
82,86,84.0
78,78,78.0
90,56,73.0
80,87,83.5
88,66,77.0
86,87,86.5
70,79,74.5
52,99,75.5
71,94,82.5
62,95,78.5
87,99,93.0
94,82,88.0
91,58,74.5
76,91,83.5
75,97,86.0
79,87,83.0
64,86,75.0
98,49,73.5
100,77,88.5
51,90,70.5
75,96,85.5
87,87,87.0
83,95,89.0
78,84,81.0
84,80,82.0
74,93,83.5
54,88,71.0
66,82,74.0
73,69,71.0
57,97,77.0
100,50,75.0
94,100,97.0
57,90,73.5
83,77,80.0
80,61,70.5
98,56,77.0
86,99,92.5
61,99,80.0
43,99,71.0
100,40,70.0
94,55,74.5
93,83,88.0
69,96,82.5
73,85,79.0
88,69,78.5
95,92,93.5
60,89,74.5
49,94,71.5
94,99,96.5
61,99,80.0
96,55,75.5
85,55,70.0
97,61,79.0
41,99,70.0
92,83,87.5
82,99,90.5
89,64,76.5
57,95,76.0
86,60,73.0
96,50,73.0
73,67,70.0
96,46,71.0
87,64,75.5
62,98,80.0
60,96,78.0
94,62,78.0
46,99,72.5
72,74,73.0
74,96,85.0
83,61,72.0
92,85,88.5
79,72,75.5
99,77,88.0
82,73,77.5
95,83,89.0
95,78,86.5
99,44,71.5
78,77,77.5
88,78,83.0
85,73,79.0
96,84,90.0
98,67,82.5
92,86,89.0
96,64,80.0
70,89,79.5
74,67,70.5
79,74,76.5
99,51,75.0
46,100,73.0
93,80,86.5
57,86,71.5
95,77,86.0
50,99,74.5
58,97,77.5
95,86,90.5
63,82,72.5
43,100,71.5
57,98,77.5
99,69,84.0
90,100,95.0
100,82,91.0
51,90,70.5
92,48,70.0
100,50,75.0
69,84,76.5
98,60,79.0
63,93,78.0
91,50,70.5
94,80,87.0
71,95,83.0
100,99,99.5
74,73,73.5
71,92,81.5
96,94,95.0
54,87,70.5
68,84,76.0
89,60,74.5
86,90,88.0
89,64,76.5
57,98,77.5
90,65,77.5
81,64,72.5
85,99,92.0
95,47,71.0
77,86,81.5
93,62,77.5
81,66,73.5
62,79,70.5
52,100,76.0
82,72,77.0
86,100,93.0
97,81,89.0
91,73,82.0
76,93,84.5
66,74,70.0
52,99,75.5
83,93,88.0
64,88,76.0
96,94,95.0
92,96,94.0
95,96,95.5
58,98,78.0
55,89,72.0
92,50,71.0
90,98,94.0
88,80,84.0
89,86,87.5
65,98,81.5
48,97,72.5
64,96,80.0
69,83,76.0
95,94,94.5
56,85,70.5
59,93,76.0
98,99,98.5
51,98,74.5
68,89,78.5
86,61,73.5
87,95,91.0
92,77,84.5
72,87,79.5
86,96,91.0
76,86,81.0
99,74,86.5
71,90,80.5
92,48,70.0
79,84,81.5
97,57,77.0
97,44,70.5
79,99,89.0
65,81,73.0
80,85,82.5
79,75,77.0
92,75,83.5
89,91,90.0
77,68,72.5
45,95,70.0
49,97,73.0
88,81,84.5
94,74,84.0
66,84,75.0
51,96,73.5
98,69,83.5
87,70,78.5
47,98,72.5
61,79,70.0
80,75,77.5
67,94,80.5
90,91,90.5
97,69,83.0
95,76,85.5
62,94,78.0
99,100,99.5
71,81,76.0
80,65,72.5
50,90,70.0
84,63,73.5
74,73,73.5
